Time(us),Frequency(kHz)
8892982,3074738
8902988,3042343
8912993,3027009
8922995,3055345
8932998,3054230
8943003,3053951
8953004,2965569
8963010,3041246
8973015,3075225
8983016,3072661
8993019,3078646
9003020,3054264
9013026,3069946
9023028,3063060
9033032,3085094
9043039,3081735
9053042,3088065
9063048,3069068
9073050,3081808
9083055,3078676
9093058,3088299
9103061,3074683
9113066,3088076
9123072,3082075
9133075,3087963
9143077,3062987
9153082,3081986
9163087,3075102
9173091,3069060
9183092,3072440
9193097,3081622
9203098,3062641
9213101,3067560
9223104,3059648
9233107,3081334
9243111,3075863
9253117,3088288
9263120,3073315
9273125,3081034
9283126,3072228
9293130,3081724
9303136,3072049
9313144,3075192
9323148,3078528
9333149,3087931
9343155,3075800
9353158,3081829
9363160,3065998
9373165,3084699
9383172,3082529
9393174,3087417
9403177,3081962
9413180,3075519
9423185,3071935
9433187,3087946
9443191,3081657
9453196,3087974
9463200,3082056
9473207,3087618
9483211,3082314
9493212,3071134
9503218,3081987
9513223,3081702
9523229,3059456
9533236,3081736
9543238,3075398
9553245,3088198
9563249,3081442
9573251,3082243
9583254,3065421
9593258,3078291
9603264,3075507
9613267,3084229
9623272,3069248
9633278,3078792
9643284,3060400
9653288,3072042
9663302,3069333
9673309,3078415
9683311,3053834
9693313,3065539
9703317,3066502
9713322,3072395
9723327,3069027
9733330,3078400
9743334,3065693
9753337,3078665
9763344,3072040
9773346,3079122
9783350,3064987
9793355,3084975
9803359,3062668
9813364,3081550
9823366,3072054
9833373,3081794
9843378,3065952
9853385,3071491
9863388,3076509
9873391,3081989
9883398,3075456
9893405,3088389
9903410,3081539
9913412,3085081
9923419,3057302
9933422,3072708
9943423,3059052
9953426,3057018
9963429,2935322
9973435,2907687
9983440,2964929
9993444,3068921
10003448,2983672
10013455,3013543
10023459,3072131
10033466,3085091
10043471,3082040
10053475,3087592
10063482,3069716
10073484,3075923
10083489,3072433
10093491,3085258
10103496,3082173
10113502,3069057
10123507,3064962
10133509,3074956
10143513,3078877
10153519,3087527
10163525,3079076
10173531,3065228
10183533,3072738
10193535,3087407
10203538,3047066
10213540,3075332
10223546,3065640
10233552,3081288
10243559,3072201
10253565,3081626
10263569,3072849
10273576,3080595
10283583,3072628
10293590,3082088
10303594,3081118
10313596,3088084
10323602,3082415
10333607,3081846
10343612,3069556
10353618,3081610
10363622,3066523
10373626,3075579
10383631,3072346
10393635,3061767
10403638,3081991
10413643,3073521
10423648,3071652
10433652,3088056
10443654,3082213
10453659,3087973
10463664,3081946
10473669,3087935
10483675,3078708
10493676,3088029
10503683,3071763
10513686,3070888
10523689,3072239
10533691,3078293
10543696,3082079
10553701,3087936
10563704,3081462
10573709,3069036
10583712,3068885
10593718,3088346
10603724,3065887
10613730,3081451
10623732,3072508
10633733,3084927
10643737,3081879
10653743,3087642
10663745,3066233
10673750,3074562
10683755,3072325
10693762,3085099
10703769,3082228
10713774,3082369
10723779,3081655
10733786,3088149
10743788,3065495
10753792,3081472
10763793,3075164
10773800,3087445
10783804,3081462
10793811,3087647
10803817,3081355
10813819,3082473
10823822,3081979
10833826,3087984
10843831,3081160
10853836,3078091
10863839,3082052
10873842,3078418
10883845,3072199
10893851,3075974
10903852,3072193
10913855,3084408
10923857,3082239
10933859,3087685
10943867,3062445
10953869,3075118
10963871,3072060
10973874,3081701
10983879,3072708
10993881,3067425
11003883,3027969
11013885,2982426
11023887,2948773
11033888,2962282
11043890,3026645
11053895,3078053
11063899,3068278
11073905,3078784
11083911,3066987
11093915,3084714
11103917,3075184
11113919,3084535
11123924,3078917
11133930,3081193
11143931,3075356
11153937,3087321
11163940,3082095
11173941,3088019
11183944,3080909
11193946,3088300
11203948,3055219
11213949,3072988
11223951,3042947
11233956,3075730
11243960,3000035
11253963,2986878
11263970,3072454
11273972,3084787
11283976,3081267
11293981,3065355
11303987,3055270
11313989,3084573
11323994,3082231
11333999,3068813
11344001,3065669
11354005,3074964
11364012,3075243
11374015,3075154
11384020,3071867
11394023,3074651
11404026,3081459
11414033,3088249
11424040,3082355
11434046,3087973
11444052,3081207
11454055,3088292
11464059,3073526
11474061,3075716
11484065,3072325
11494070,3081831
11504074,3081364
11514081,3088270
11524084,3082034
11534085,3087831
11544088,3081957
11554091,3074218
11564095,3072651
11574095,3081649
11584099,3071978
11594103,3081689
11604107,3063247
11614109,3076049
11624112,3072155
11634118,3081427
11644123,3070444
11654124,3075161
11664130,3062754
11674135,3060444
11684139,3066752
11694147,3079017
11704149,3075873
11714154,3066735
11724159,3060795
